name;power;accuracy;damage_class;priority;type
slam;80.0;75.0;physical;0;normal
vine-whip;45.0;100.0;physical;0;grass
stomp;65.0;100.0;physical;0;normal
double-kick;30.0;100.0;physical;0;fighting
mega-kick;120.0;75.0;physical;0;normal
jump-kick;100.0;95.0;physical;0;fighting
rolling-kick;60.0;85.0;physical;0;fighting
sand-attack;;100.0;status;0;ground
headbutt;70.0;100.0;physical;0;normal
horn-attack;65.0;100.0;physical;0;normal
fury-attack;15.0;85.0;physical;0;normal
horn-drill;;30.0;physical;0;normal
tackle;40.0;100.0;physical;0;normal
body-slam;85.0;100.0;physical;0;normal
wrap;15.0;90.0;physical;0;normal
take-down;90.0;85.0;physical;0;normal
thrash;120.0;100.0;physical;0;normal
double-edge;120.0;100.0;physical;0;normal
tail-whip;;100.0;status;0;normal
poison-sting;15.0;100.0;physical;0;poison
twineedle;25.0;100.0;physical;0;bug
pin-missile;25.0;95.0;physical;0;bug
leer;;100.0;status;0;normal
bite;60.0;100.0;physical;0;dark
growl;;100.0;status;0;normal
roar;;;status;-6;normal
sing;;55.0;status;0;normal
supersonic;;55.0;status;0;normal
sonic-boom;;90.0;special;0;normal
disable;;100.0;status;0;normal
acid;40.0;100.0;special;0;poison
ember;40.0;100.0;special;0;fire
flamethrower;90.0;100.0;special;0;fire
mist;;;status;0;ice
water-gun;40.0;100.0;special;0;water
hydro-pump;110.0;80.0;special;0;water
surf;90.0;100.0;special;0;water
ice-beam;90.0;100.0;special;0;ice
blizzard;110.0;70.0;special;0;ice
psybeam;65.0;100.0;special;0;psychic
bubble-beam;65.0;100.0;special;0;water
aurora-beam;65.0;100.0;special;0;ice
hyper-beam;150.0;90.0;special;0;normal
peck;35.0;100.0;physical;0;flying
drill-peck;80.0;100.0;physical;0;flying
submission;80.0;80.0;physical;0;fighting
low-kick;;100.0;physical;0;fighting
counter;;100.0;physical;-5;fighting
seismic-toss;;100.0;physical;0;fighting
strength;80.0;100.0;physical;0;normal
absorb;20.0;100.0;special;0;grass
mega-drain;40.0;100.0;special;0;grass
